TIMESTAMP,H,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801041600,-9999,57.5909,3,57.5909,16,58.5765,3,3,463
200801041630,-9999,14.5952,3,14.5952,2,18.3292,3,3,457
200801041700,-9999,7.3229,3,7.3229,3,18.0732,3,3,457
200801041730,-9999,-1.85391,3,-1.85391,4,23.5503,3,3,457
200801041800,-9999,-8.85969,3,-8.85969,5,25.7171,3,3,457
200801041830,-9999,-20.6903,3,-20.6903,5,16.8563,3,3,457
200801041900,-9999,-29.8869,3,-29.8869,5,13.9191,3,3,457
200801041930,-9999,-36.1824,3,-36.1824,5,5.93192,3,3,457
200801042000,-9999,-35.4433,3,-35.4433,5,7.10489,3,3,457
200801042030,-9999,-32.666,3,-32.666,5,8.89111,3,3,457
200801042100,-9999,-31.005,3,-31.005,5,9.86332,3,3,457
200801042130,-9999,-25.6617,3,-25.6617,5,7.86076,3,3,457
200801042200,-9999,-21.8687,3,-21.8687,5,3.17794,3,3,457
200801042230,-9999,-19.7171,3,-19.7171,5,3.5633,3,3,457
200801042300,-9999,-17.4086,3,-17.4086,5,4.51857,3,3,457
200801042330,-9999,-14.4839,3,-14.4839,5,4.49092,3,3,457
200801050000,-9999,-13.0429,3,-13.0429,5,4.38281,3,3,457
200801050030,-9999,-12.2415,3,-12.2415,5,3.00243,3,3,457
200801050100,-9999,-11.8196,3,-11.8196,5,2.65854,3,3,457
200801050130,-9999,-12.2351,3,-12.2351,5,2.74798,3,3,457
200801050200,-9999,-13.8535,3,-13.8535,5,2.49335,3,3,457
200801050230,-9999,-15.6696,3,-15.6696,5,2.67437,3,3,457
200801050300,-9999,-17.8971,3,-17.8971,5,5.68162,3,3,457
200801050330,-9999,-21.608,3,-21.608,5,7.35143,3,3,457
200801050400,-9999,-22.661,3,-22.661,5,6.19083,3,3,457
200801050430,-9999,-25.4138,3,-25.4138,5,5.96722,3,3,457
200801050500,-9999,-28.2981,3,-28.2981,5,5.88362,3,3,457
200801050530,-9999,-27.8152,3,-27.8152,5,6.12488,3,3,457
200801050600,-9999,-26.3808,3,-26.3808,5,5.91898,3,3,457
200801050630,-9999,-27.3065,3,-27.3065,5,4.66555,3,3,457
200801050700,-9999,-24.8766,3,-24.8766,5,5.63389,3,3,457
200801050730,-9999,-24.6774,3,-24.6774,5,5.23743,3,3,457
200801050800,-9999,-16.9846,3,-16.9846,5,18.1026,3,3,457
200801050830,-9999,4.35657,3,4.35657,5,47.1147,3,3,457
200801050900,-9999,19.3618,3,19.3618,5,47.9936,3,3,457
200801050930,-9999,42.745,3,42.745,5,53.2094,3,3,457
200801051000,-9999,67.8967,3,67.8967,5,35.1522,3,3,457
200801051030,-9999,88.275,3,88.275,5,23.8113,3,3,457
200801051100,-9999,104.275,3,104.275,5,40.2002,3,3,457
200801051130,-9999,119.255,3,119.255,5,27.6658,3,3,457
200801051200,-9999,121.212,3,121.212,5,26.1383,3,3,457
200801051230,-9999,140.469,3,140.469,5,34.2178,3,3,457
200801051300,-9999,136.663,3,136.663,5,38.4323,3,3,457
200801051330,-9999,115.022,3,115.022,5,49.2009,3,3,457
200801051400,-9999,91.6291,3,91.6291,5,66.9753,3,3,457
200801051430,-9999,79.8651,3,79.8651,5,68.4587,3,3,457
200801051500,-9999,43.4612,3,43.4612,5,37.0152,3,3,457
200801051530,-9999,18.9334,3,18.9334,5,33.2107,3,3,457
200801051600,-9999,10.7547,3,10.7547,6,25.8179,3,3,457
200801051630,-9999,4.34947,3,4.34947,7,27.3607,3,3,457
200801051700,-9999,-8.68968,3,-8.68968,8,22.3307,3,3,457
200801051730,-9999,-16.1698,3,-16.1698,9,22.6866,3,3,457
200801051800,-9999,-19.1819,3,-19.1819,10,22.9124,3,3,457
200801051830,-9999,-27.267,3,-27.267,10,14.2464,3,3,457
200801051900,-9999,-30.5329,3,-30.5329,10,12.3957,3,3,457
200801051930,-9999,-30.3214,3,-30.3214,10,11.454,3,3,457
200801052000,-9999,-30.4483,3,-30.4483,10,12.098,3,3,457
200801052030,-9999,-27.4062,3,-27.4062,10,12.2746,3,3,457
200801052100,-9999,-25.8107,3,-25.8107,10,12.5777,3,3,457
200801052130,-9999,-23.3443,3,-23.3443,10,10.7354,3,3,457
200801052200,-9999,-22.8568,3,-22.8568,10,8.33036,3,3,457
200801052230,-9999,-20.1038,3,-20.1038,10,4.20283,3,3,457
200801052300,-9999,-20.1062,3,-20.1062,10,6.01217,3,3,457
200801052330,-9999,-20.7141,3,-20.7141,10,9.19328,3,3,457
200801060000,-9999,-22.7762,3,-22.7762,10,11.8594,3,3,457
200801060030,-9999,-23.6558,3,-23.6558,10,12.8536,3,3,457
200801060100,-9999,-23.7171,3,-23.7171,10,13.1561,3,3,457
200801060130,-9999,-23.5434,3,-23.5434,10,12.8056,3,3,457
200801060200,-9999,-25.231,3,-25.231,10,13.3575,3,3,457
200801060230,-9999,-26.7749,3,-26.7749,10,13.5755,3,3,457
200801060300,-9999,-28.2578,3,-28.2578,10,13.3346,3,3,457
200801060330,-9999,-31.7939,3,-31.7939,10,13.345,3,3,457
200801060400,-9999,-35.3208,3,-35.3208,10,14.4905,3,3,457
200801060430,-9999,-34.7346,3,-34.7346,10,12.8856,3,3,457
200801060500,-9999,-33.0402,3,-33.0402,10,12.0982,3,3,457
200801060530,-9999,-30.0274,3,-30.0274,10,13.4654,3,3,457
200801060600,-9999,-25.6921,3,-25.6921,10,13.0742,3,3,457
200801060630,-9999,-21.9174,3,-21.9174,10,7.7976,3,3,457
200801060700,-9999,-19.3622,3,-19.3622,10,7.11521,3,3,457
200801060730,-9999,-18.408,3,-18.408,10,7.59689,3,3,457
200801060800,-9999,-13.1068,3,-13.1068,10,13.4834,3,3,457
200801060830,-9999,0.0252341,3,0.0252341,10,32.7205,3,3,457
200801060900,-9999,12.8496,3,12.8496,10,35.6503,3,3,457
200801060930,-9999,38.3428,3,38.3428,10,50.5216,3,3,457
200801061000,-9999,67.618,3,67.618,10,51.9642,3,3,457
200801061030,-9999,85.9821,3,85.9821,10,42.6205,3,3,457
200801061100,-9999,96.7577,3,96.7577,10,44.4467,3,3,457
200801061130,-9999,110.429,3,110.429,10,35.6854,3,3,457
200801061200,-9999,107.651,3,107.651,10,35.9476,3,3,457
200801061230,-9999,111.984,3,111.984,10,41.2994,3,3,457
200801061300,-9999,113.642,3,113.642,10,40.5462,3,3,457
200801061330,-9999,106.072,3,106.072,10,36.0725,3,3,457
200801061400,-9999,92.544,3,92.544,10,46.3127,3,3,457
200801061430,-9999,84.1016,3,84.1016,10,48.4848,3,3,457
200801061500,-9999,64.2422,3,64.2422,10,36.0594,3,3,457
200801061530,-9999,38.1347,3,38.1347,10,41.921,3,3,457
200801061600,-9999,28.8211,3,28.8211,11,38.9462,3,3,457
200801061630,-9999,19.2397,3,19.2397,12,36.3805,3,3,457
200801061700,-9999,5.55501,3,5.55501,13,34.5948,3,3,457
200801061730,-9999,-9.1089,3,-9.1089,14,26.9493,3,3,457
200801061800,-9999,-12.6202,3,-12.6202,15,28.0016,3,3,457
200801061830,-9999,-22.4762,3,-22.4762,15,20.3976,3,3,457
200801061900,-9999,-28.7498,3,-28.7498,15,13.2552,3,3,457
200801061930,-9999,-32.3579,3,-32.3579,15,11.1221,3,3,457
200801062000,-9999,-32.8553,3,-32.8553,15,11.7603,3,3,457
200801062030,-9999,-30.8715,3,-30.8715,15,12.4143,3,3,457
200801062100,-9999,-30.7745,3,-30.7745,15,13.2825,3,3,457
200801062130,-9999,-30.0638,3,-30.0638,15,13.572,3,3,457
200801062200,-9999,-28.9179,3,-28.9179,15,11.2651,3,3,457
200801062230,-9999,-26.6092,3,-26.6092,15,10.3864,3,3,457
200801062300,-9999,-26.5524,3,-26.5524,15,10.8956,3,3,457
200801062330,-9999,-26.2987,3,-26.2987,15,11.3913,3,3,457
200801070000,-9999,-26.6114,3,-26.6114,15,11.327,3,3,457
200801070030,-9999,-27.0851,3,-27.0851,15,11.6685,3,3,457
200801070100,-9999,-27.0388,3,-27.0388,15,11.817,3,3,457
200801070130,-9999,-26.8005,3,-26.8005,15,11.5286,3,3,457
200801070200,-9999,-27.66,3,-27.66,15,11.5657,3,3,457
200801070230,-9999,-29.1105,3,-29.1105,15,11.6444,3,3,457
200801070300,-9999,-29.7168,3,-29.7168,15,11.0041,3,3,457
200801070330,-9999,-32.0427,3,-32.0427,15,10.808,3,3,457
200801070400,-9999,-34.6739,3,-34.6739,15,11.7918,3,3,457
200801070430,-9999,-34.162,3,-34.162,15,10.5921,3,3,457
200801070500,-9999,-32.4959,3,-32.4959,15,10.033,3,3,457
200801070530,-9999,-30.0982,3,-30.0982,15,11.0489,3,3,457
200801070600,-9999,-27.3328,3,-27.3328,15,11.0471,3,3,457
200801070630,-9999,-24.2999,3,-24.2999,15,7.37233,3,3,457
200801070700,-9999,-22.2831,3,-22.2831,15,7.55818,3,3,457
200801070730,-9999,-19.9224,3,-19.9224,15,9.49314,3,3,457
200801070800,-9999,-11.8011,3,-11.8011,15,19.6328,3,3,457
200801070830,-9999,3.04971,3,3.04971,15,33.4396,3,3,457
200801070900,-9999,24.1139,3,24.1139,15,49.9303,3,3,457
200801070930,-9999,53.7653,3,53.7653,15,61.3715,3,3,457
200801071000,-9999,88.4078,3,88.4078,15,66.5982,3,3,457
200801071030,-9999,112.266,3,112.266,15,62.6583,3,3,457
200801071100,-9999,130.342,3,130.342,15,62.9977,3,3,457
200801071130,-9999,140.612,3,140.612,15,54.5329,3,3,457
200801071200,-9999,145.31,3,145.31,15,64.5505,3,3,457
200801071230,-9999,144.568,3,144.568,15,61.6395,3,3,457
200801071300,-9999,150.06,3,150.06,15,67.9719,3,3,457
200801071330,-9999,140.466,3,140.466,15,66.2195,3,3,457
200801071400,-9999,130.264,3,130.264,15,74.4535,3,3,457
200801071430,-9999,113.185,3,113.185,15,68.0472,3,3,457
200801071500,-9999,98.9094,3,98.9094,15,68.7911,3,3,457
200801071530,-9999,71.83,3,71.83,15,61.3288,3,3,457
200801071600,-9999,57.5909,3,57.5909,16,58.5765,3,3,457
200801071630,-9999,14.5952,3,14.5952,2,18.3292,3,3,451
200801071700,-9999,7.3229,3,7.3229,3,18.0732,3,3,451
200801071730,-9999,-1.85391,3,-1.85391,4,23.5503,3,3,451
200801071800,-9999,-8.85969,3,-8.85969,5,25.7171,3,3,451
200801071830,-9999,-20.6903,3,-20.6903,5,16.8563,3,3,451
200801071900,-9999,-29.8869,3,-29.8869,5,13.9191,3,3,451
200801071930,-9999,-36.1824,3,-36.1824,5,5.93192,3,3,451
200801072000,-9999,-35.4433,3,-35.4433,5,7.10489,3,3,451
200801072030,-9999,-32.666,3,-32.666,5,8.89111,3,3,451
200801072100,-9999,-31.005,3,-31.005,5,9.86332,3,3,451
200801072130,-9999,-25.6617,3,-25.6617,5,7.86076,3,3,451
200801072200,-9999,-21.8687,3,-21.8687,5,3.17794,3,3,451
200801072230,-9999,-19.7171,3,-19.7171,5,3.5633,3,3,451
200801072300,-9999,-17.4086,3,-17.4086,5,4.51857,3,3,451
200801072330,-9999,-14.4839,3,-14.4839,5,4.49092,3,3,451
200801080000,-9999,-13.0429,3,-13.0429,5,4.38281,3,3,451
200801080030,-9999,-12.2415,3,-12.2415,5,3.00243,3,3,451
200801080100,-9999,-11.8196,3,-11.8196,5,2.65854,3,3,451
200801080130,-9999,-12.2351,3,-12.2351,5,2.74798,3,3,451
200801080200,-9999,-13.8535,3,-13.8535,5,2.49335,3,3,451
200801080230,-9999,-15.6696,3,-15.6696,5,2.67437,3,3,451
200801080300,-9999,-17.8971,3,-17.8971,5,5.68162,3,3,451
200801080330,-9999,-21.608,3,-21.608,5,7.35143,3,3,451
200801080400,-9999,-22.661,3,-22.661,5,6.19083,3,3,451
200801080430,-9999,-25.4138,3,-25.4138,5,5.96722,3,3,451
200801080500,-9999,-28.2981,3,-28.2981,5,5.88362,3,3,451
200801080530,-9999,-27.8152,3,-27.8152,5,6.12488,3,3,451
200801080600,-9999,-26.3808,3,-26.3808,5,5.91898,3,3,451
200801080630,-9999,-27.3065,3,-27.3065,5,4.66555,3,3,451
200801080700,-9999,-24.8766,3,-24.8766,5,5.63389,3,3,451
200801080730,-9999,-24.6774,3,-24.6774,5,5.23743,3,3,451
200801080800,-9999,-16.9846,3,-16.9846,5,18.1026,3,3,451
200801080830,-9999,4.35657,3,4.35657,5,47.1147,3,3,451
200801080900,-9999,19.3618,3,19.3618,5,47.9936,3,3,451
200801080930,-9999,42.745,3,42.745,5,53.2094,3,3,451
200801081000,-9999,67.8967,3,67.8967,5,35.1522,3,3,451
200801081030,-9999,88.275,3,88.275,5,23.8113,3,3,451
200801081100,-9999,104.275,3,104.275,5,40.2002,3,3,451
200801081130,-9999,119.255,3,119.255,5,27.6658,3,3,451
200801081200,-9999,121.212,3,121.212,5,26.1383,3,3,451
200801081230,-9999,140.469,3,140.469,5,34.2178,3,3,451
200801081300,-9999,136.663,3,136.663,5,38.4323,3,3,451
200801081330,-9999,115.022,3,115.022,5,49.2009,3,3,451
200801081400,-9999,91.6291,3,91.6291,5,66.9753,3,3,451
200801081430,-9999,79.8651,3,79.8651,5,68.4587,3,3,451
200801081500,-9999,43.4612,3,43.4612,5,37.0152,3,3,451
200801081530,-9999,18.9334,3,18.9334,5,33.2107,3,3,451
200801081600,-9999,10.7547,3,10.7547,6,25.8179,3,3,451
200801081630,-9999,4.34947,3,4.34947,7,27.3607,3,3,451
200801081700,-9999,-8.68968,3,-8.68968,8,22.3307,3,3,451
200801081730,-9999,-16.1698,3,-16.1698,9,22.6866,3,3,451
200801081800,-9999,-19.1819,3,-19.1819,10,22.9124,3,3,451
200801081830,-9999,-27.267,3,-27.267,10,14.2464,3,3,451
200801081900,-9999,-30.5329,3,-30.5329,10,12.3957,3,3,451
200801081930,-9999,-30.3214,3,-30.3214,10,11.454,3,3,451
200801082000,-9999,-30.4483,3,-30.4483,10,12.098,3,3,451
200801082030,-9999,-27.4062,3,-27.4062,10,12.2746,3,3,451
200801082100,-9999,-25.8107,3,-25.8107,10,12.5777,3,3,451
200801082130,-9999,-23.3443,3,-23.3443,10,10.7354,3,3,451
200801082200,-9999,-22.8568,3,-22.8568,10,8.33036,3,3,451
200801082230,-9999,-20.1038,3,-20.1038,10,4.20283,3,3,451
200801082300,-9999,-20.1062,3,-20.1062,10,6.01217,3,3,451
200801082330,-9999,-20.7141,3,-20.7141,10,9.19328,3,3,451
200801090000,-9999,-22.7762,3,-22.7762,10,11.8594,3,3,451
200801090030,-9999,-23.6558,3,-23.6558,10,12.8536,3,3,451
200801090100,-9999,-23.7171,3,-23.7171,10,13.1561,3,3,451
200801090130,-9999,-23.5434,3,-23.5434,10,12.8056,3,3,451
200801090200,-9999,-25.231,3,-25.231,10,13.3575,3,3,451
200801090230,-9999,-26.7749,3,-26.7749,10,13.5755,3,3,451
200801090300,-9999,-28.2578,3,-28.2578,10,13.3346,3,3,451
200801090330,-9999,-31.7939,3,-31.7939,10,13.345,3,3,451
200801090400,-9999,-35.3208,3,-35.3208,10,14.4905,3,3,451
200801090430,-9999,-34.7346,3,-34.7346,10,12.8856,3,3,451
200801090500,-9999,-33.0402,3,-33.0402,10,12.0982,3,3,451
200801090530,-9999,-30.0274,3,-30.0274,10,13.4654,3,3,451
200801090600,-9999,-25.6921,3,-25.6921,10,13.0742,3,3,451
