TIMESTAMP,LE,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801061100,-9999,72.316,3,72.316,10,28.4381,3,3,457
200801061130,-9999,81.7645,3,81.7645,10,21.2318,3,3,457
200801061200,-9999,83.054,3,83.054,10,20.6196,3,3,457
200801061230,-9999,86.5736,3,86.5736,10,17.6651,3,3,457
200801061300,-9999,94.2437,3,94.2437,10,32.3216,3,3,457
200801061330,-9999,96.4791,3,96.4791,10,40.7906,3,3,457
200801061400,-9999,105.236,3,105.236,10,46.2452,3,3,457
200801061430,-9999,115.702,3,115.702,10,42.9675,3,3,457
200801061500,-9999,119.369,3,119.369,10,43.9003,3,3,457
200801061530,-9999,128.598,3,128.598,10,48.9388,3,3,457
200801061600,-9999,135.489,3,135.489,11,74.6039,3,3,457
200801061630,-9999,118.668,3,118.668,12,77.4193,3,3,457
200801061700,-9999,102.971,3,102.971,13,79.6039,3,3,457
200801061730,-9999,86.8498,3,86.8498,14,81.7767,3,3,457
200801061800,-9999,61.1171,3,61.1171,15,71.9812,3,3,457
200801061830,-9999,35.2814,3,35.2814,15,25.1166,3,3,457
200801061900,-9999,24.3664,3,24.3664,15,18.042,3,3,457
200801061930,-9999,16.6096,3,16.6096,15,10.9049,3,3,457
200801062000,-9999,12.9576,3,12.9576,15,7.02337,3,3,457
200801062030,-9999,10.8887,3,10.8887,15,5.99492,3,3,457
200801062100,-9999,9.60044,3,9.60044,15,5.66203,3,3,457
200801062130,-9999,8.74804,3,8.74804,15,5.36988,3,3,457
200801062200,-9999,8.18637,3,8.18637,15,4.57532,3,3,457
200801062230,-9999,7.24307,3,7.24307,15,4.32804,3,3,457
200801062300,-9999,6.87588,3,6.87588,15,4.3073,3,3,457
200801062330,-9999,7.24993,3,7.24993,15,5.77322,3,3,457
200801070000,-9999,7.53268,3,7.53268,15,7.00163,3,3,457
200801070030,-9999,7.25842,3,7.25842,15,7.25175,3,3,457
200801070100,-9999,7.06215,3,7.06215,15,7.3304,3,3,457
200801070130,-9999,6.30844,3,6.30844,15,7.12566,3,3,457
200801070200,-9999,5.86935,3,5.86935,15,6.13843,3,3,457
200801070230,-9999,5.65162,3,5.65162,15,5.58675,3,3,457
200801070300,-9999,6.60235,3,6.60235,15,7.4016,3,3,457
200801070330,-9999,7.07081,3,7.07081,15,8.85876,3,3,457
200801070400,-9999,7.19676,3,7.19676,15,9.36341,3,3,457
200801070430,-9999,5.82071,3,5.82071,15,9.8255,3,3,457
200801070500,-9999,4.61862,3,4.61862,15,9.74439,3,3,457
200801070530,-9999,2.81752,3,2.81752,15,7.69694,3,3,457
200801070600,-9999,2.12814,3,2.12814,15,5.59734,3,3,457
200801070630,-9999,2.21979,3,2.21979,15,4.50294,3,3,457
200801070700,-9999,1.89996,3,1.89996,15,6.83369,3,3,457
200801070730,-9999,4.48674,3,4.48674,15,8.07804,3,3,457
200801070800,-9999,6.95288,3,6.95288,15,10.1998,3,3,457
200801070830,-9999,12.0262,3,12.0262,15,14.982,3,3,457
200801070900,-9999,20.2362,3,20.2362,15,20.9749,3,3,457
200801070930,-9999,32.4069,3,32.4069,15,21.811,3,3,457
200801071000,-9999,46.0861,3,46.0861,15,28.9918,3,3,457
200801071030,-9999,65.7692,3,65.7692,15,36.185,3,3,457
200801071100,-9999,80.9905,3,80.9905,15,33.6876,3,3,457
200801071130,-9999,91.1627,3,91.1627,15,27.8771,3,3,457
200801071200,-9999,97.8207,3,97.8207,15,29.339,3,3,457
200801071230,-9999,99.3766,3,99.3766,15,26.6802,3,3,457
200801071300,-9999,104.551,3,104.551,15,32.6001,3,3,457
200801071330,-9999,105.27,3,105.27,15,37.7372,3,3,457
200801071400,-9999,110.742,3,110.742,15,40.4594,3,3,457
200801071430,-9999,113.4,3,113.4,15,37.3344,3,3,457
200801071500,-9999,115.452,3,115.452,15,38.4659,3,3,457
200801071530,-9999,116.827,3,116.827,15,43.3584,3,3,457
200801071600,-9999,121.033,3,121.033,16,65.0943,3,3,457
200801071630,-9999,30.3435,3,30.3435,2,1.98167,3,3,451
200801071700,-9999,29.2933,3,29.2933,3,2.29618,3,3,451
200801071730,-9999,25.4973,3,25.4973,4,7.81997,3,3,451
200801071800,-9999,23.2482,3,23.2482,5,8.43549,3,3,451
200801071830,-9999,20.185,3,20.185,5,8.62951,3,3,451
200801071900,-9999,16.1782,3,16.1782,5,6.24066,3,3,451
200801071930,-9999,12.6417,3,12.6417,5,2.02393,3,3,451
200801072000,-9999,10.9918,3,10.9918,5,3.41379,3,3,451
200801072030,-9999,8.84518,3,8.84518,5,4.14725,3,3,451
200801072100,-9999,6.95674,3,6.95674,5,3.52975,3,3,451
200801072130,-9999,5.04461,3,5.04461,5,2.83093,3,3,451
200801072200,-9999,3.59111,3,3.59111,5,1.53267,3,3,451
200801072230,-9999,2.63096,3,2.63096,5,1.23012,3,3,451
200801072300,-9999,2.10842,3,2.10842,5,1.31105,3,3,451
200801072330,-9999,1.40087,3,1.40087,5,0.742001,3,3,451
200801080000,-9999,1.07526,3,1.07526,5,0.686091,3,3,451
200801080030,-9999,0.902553,3,0.902553,5,0.340021,3,3,451
200801080100,-9999,0.875842,3,0.875842,5,0.329759,3,3,451
200801080130,-9999,0.920329,3,0.920329,5,0.349258,3,3,451
200801080200,-9999,0.931486,3,0.931486,5,0.339055,3,3,451
200801080230,-9999,1.04449,3,1.04449,5,0.251315,3,3,451
200801080300,-9999,1.6706,3,1.6706,5,1.59617,3,3,451
200801080330,-9999,2.01374,3,2.01374,5,1.58024,3,3,451
200801080400,-9999,2.18849,3,2.18849,5,1.50435,3,3,451
